endTime,artistName,trackName,msPlayed
2023-10-10 13:34,Þorkell Sigurbjörnsson,Heyr himna smiður,1090
2023-10-10 13:34,Théodore Dubois,3 extraits de la Messe des Morts: Pie Jesu,1840
2023-10-10 14:33,The Tallis Scholars,Tallis: Sancte Deus - 4. Quia Per Crucem Tuam,9010
2023-10-10 14:33,Christoph Willibald Gluck,"Iphigénie en Tauride, Wq. 46 (Excerpts): O Diane, sois-nous propice",4310
2023-10-10 14:37,Antonio Vivaldi,"Concerto for Oboe and Bassoon in G Major, RV 545: III. Allegro molto",193133
2023-10-10 14:38,Claudio Monteverdi / Marino (t),"Ottavo libro de' madrigali (Madrigali guerrieri, et amorosi ...), Venice, 1638: Altri canti di Marte e di sua schiera (sv155) -Part I: Altri canti di Marte e di sua schiera",79066
2023-10-10 14:38,George Frideric Handel,"Organ Concerto in B-Flat Major, Op. 7 No. 1, HWV 306 (Arr. for Piano & Orchestra): I. Andante",6660
2023-10-10 14:39,Carl Stamitz,"Concerto in G Major for Flute, Strings, 2 Oboes, 2 Horns and Basso: I. Allegro",2980
2023-10-10 14:39,Pietro Locatelli,"Concerto in F Major, Op. 4, No. 12: 2. Largo",3760
2023-10-10 14:39,Carl Philipp Emanuel Bach,"Bach, CPE: Cello Concerto No. 1 in A Minor, Wq. 170: III. Allegro assai",3310
2023-10-10 14:39,Franz Xaver Richter,"Concerto in E Minor for Flute, Strings and Basso Continuo: I. Allegro moderato",10410
2023-10-10 14:41,Antonio Vivaldi,"Bassoon Concerto in A Minor, RV 497: III. Allegro",158852
2023-10-10 14:42,Johann Sebastian Bach,"Suite No. 4 in D, BWV 1069: II. Bourrée I-II",910
2023-10-10 14:42,George Frideric Handel,"Concerto Grosso in F Major, Op. 6, No. 2, HWV 320: I. Andante larghetto",2780
2023-10-10 14:42,Jean-Philippe Rameau,Suite from Dardanus: Le Monstre sortant des flots,1350
2023-10-10 14:42,Johann Sebastian Bach,"Concerto for 3 Harpsichords, Strings & Continuo No. 2 in C Major, BWV 1064: II. Adagio",6300
2023-10-10 14:42,Leonardo Leo,Cello Concerto No. 3 in D Minor *: I. Andante grazioso,1090
2023-10-10 14:42,Johann Christian Bach,"Symphony in G Minor, Op. 6, No. 6, W. C12: I. Allegro",3230
2023-10-10 14:42,Joseph Haydn,"Symphony No. 39 in G Minor, Hob.I:39: I. Allegro assai",2130
2023-10-10 14:42,Johann Friedrich Fasch,Trio Sonata in G Minor: I. Largo,1760
2023-10-10 14:42,Joseph Haydn,"Symphony No. 41 in C Major, Hob.I:41: II. Un poco Andante",2970
2023-10-10 14:42,Johann Sebastian Bach,"Keyboard Concerto No. 4 in A Major, BWV 1055 (Arr. M. Munclinger for Flute and Orchestra): II. Larghetto",3920
2023-10-10 14:42,Filarmónica Y Coro De Praga,"Concierto Para Dos Oboes, 2 Trompas, Violin, Bajos Y Organo En Fa Mayor Rv 571. Allegro II",9517
2023-10-10 14:42,George Frideric Handel,"Organ Concerto No. 4 In F Major, Op. 4, No. 4, HWV 292: I. Allegro",4960
2023-10-10 14:42,Joseph Haydn,"Baryton Trio No. 97 in D ""Fatto per la felicissima nascita di S:Ai:S Prencipe Estorhazi"": 6. Menuet",2490
2023-10-10 14:44,Carl Philipp Emanuel Bach,"Flute Concerto in A Minor, Wq. 166: I. Allegro assai",129030
2023-10-10 14:46,Leopold Mozart,"Mozart, L: Horn Concerto in D Major: II. Andante",107900
2023-10-10 14:51,Wolfgang Amadeus Mozart,"Horn Concerto No. 1 in D Major, K. 412: I. Allegro",308790
2023-10-12 09:46,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby""",240867
2023-10-12 09:51,Taylor Swift,You Are In Love,267106
2023-10-12 09:55,Dua Lipa,IDGAF,217946
2023-10-12 09:58,Sara Bareilles,King of Anything,207493
2023-10-12 10:03,Florence + The Machine,Shake It Out,277720
2023-10-12 10:05,Griff,Walk,152894
2023-10-12 10:08,CLMD,Burning My Bridges,188000
2023-10-12 10:11,Meghan Trainor,Better When I'm Dancin',176266
2023-10-12 10:14,Halsey,Could Have Been Me,148732
2023-10-12 10:14,Sheppard,Geronimo,39292
2023-10-12 10:17,Mimi Webb,House On Fire,139001
2023-10-12 10:18,HAIM,The Wire,89778
2023-10-12 10:23,Sara Bareilles,Gonna Get Over You,256306
2023-10-12 10:26,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),3693
2023-10-12 10:26,Lea Michele,Mama Who Bore Me - Original Broadway Cast Recording/2006,930
2023-10-12 10:26,Claude-Michel Schönberg,The American Dream - Original London Cast Recording/1989,1060
2023-10-12 10:26,Stephen Schwartz,"For Good - From ""Wicked"" Original Broadway Cast Recording/2003",1010
2023-10-12 10:26,Alex Brightman,Say My Name,2170
2023-10-12 10:26,Cheat Codes,Bets On Us,180959
2023-10-12 10:26,Sutton Foster,Anything Goes,8060
2023-10-12 10:26,Jeanine Tesori,Ring of Keys,2440
2023-10-12 10:27,Big Sean,Dance (A$$) Remix,63260
2023-10-12 10:27,Bella Poarch,Build a Bitch,2150
2023-10-12 10:27,Skrillex,Where Are Ü Now LIVE (with Justin Bieber),1550
2023-10-12 10:32,Nicki Minaj,Gun Shot,325490
2023-10-12 10:33,Christina Aguilera,Beautiful,1060
2023-10-12 10:33,Doja Cat,Need to Know,1840
2023-10-12 10:33,Beyoncé,THIQUE,1150
2023-10-12 10:33,Cherish,Do It To It,990
2023-10-12 10:33,Rihanna,What's My Name?,1080
2023-10-12 10:37,Jax Jones,You Don’t Know Me (ft. RAYE),1490
2023-10-12 10:37,Lady Gaga,Alejandro,274213
2023-10-12 10:37,Kygo,Dancing Feet (feat. DNCE),1330
2023-10-12 10:37,Ellie Goulding,Lights - Sped Up Version,1080
2023-10-12 10:37,Olly Alexander (Years & Years),Night Call,1250
2023-10-12 10:37,Megan Thee Stallion,Sweetest Pie,1090
2023-10-12 10:37,Curtis Waters,Stunnin' (feat. Harm Franklin),1160
2023-10-12 10:37,Aya Nakamura,Pookie (feat. Capo Plaza) - Remix,1420
2023-10-12 10:37,MK,17,2466
2023-10-12 10:37,Nicki Minaj,Barbie Dreams,1030
2023-10-12 10:37,Tiësto,God Is A Dancer (with Mabel),1120
2023-10-12 10:37,Jennifer Lopez,Ain't Your Mama,1700
2023-10-12 10:37,Rihanna,Work,1690
2023-10-12 10:37,Kim Petras,Your Wish Is My Command,1220
2023-10-12 10:38,David Guetta,Stay (Don't Go Away) [feat. Raye],1540
2023-10-12 10:38,Lil Nas X,THATS WHAT I WANT,1270
2023-10-12 10:38,David Guetta,When Love Takes Over (feat. Kelly Rowland),1260
2023-10-12 10:38,Miley Cyrus,Mother's Daughter,1170
2023-10-12 10:38,Rita Ora,You Only Love Me,970
2023-10-12 10:41,Cascada,Truly Madly Deeply - Radio Edit,175148
2023-10-12 10:43,Kelly Clarkson,Happier Than Ever,2170
2023-10-12 10:43,Anitta,Me Gusta (with Cardi B & Myke Towers),126831
2023-10-12 10:43,Clean Bandit,Mama (feat. Ellie Goulding),2290
2023-10-12 10:48,KEiiNO,VENUS,270587
2023-10-12 10:52,Demi Lovato,Confident,22302
2023-10-12 10:52,Sia,Chandelier,216120
2023-10-13 11:35,Troye Sivan,Got Me Started,198448
2023-10-13 11:39,Troye Sivan,One Of Your Girls,181481
2023-10-13 11:42,Troye Sivan,In My Room,193262
2023-10-13 11:49,Troye Sivan,Still Got It,208551
2023-10-13 11:52,Troye Sivan,"Can't Go Back, Baby",201854
2023-10-13 11:54,Troye Sivan,Got Me Started,84430
2023-10-13 22:42,Norah Jones,Don't Know Why,186250
2023-10-13 22:45,Norah Jones,Come Away With Me,198226
2023-10-13 22:49,Norah Jones,Sunrise,200626
2023-10-13 22:52,Norah Jones,Carry On,168106
2023-10-13 22:54,Norah Jones,Unchained Melody,170159
2023-10-13 22:58,Norah Jones,What Am I To You?,209999
2023-10-13 23:28,Norah Jones,Were You Watching?,219695
2023-10-14 00:32,Troye Sivan,Got Me Started,114014
2023-10-14 00:36,Troye Sivan,Silly,218530
2023-10-14 00:39,Troye Sivan,Honey,206878
2023-10-14 00:42,ELIO,Waste of Emotion,796
2023-10-14 00:42,Troye Sivan,How To Stay With You,196231
2023-10-14 13:19,ELIO,Waste of Emotion,176779
2023-10-14 13:22,Griff,Vertigo,179757
2023-10-14 13:28,Sam Smith,Dancing With A Stranger (with Normani),82692
2023-10-14 19:37,HAIM,The Wire,245293
2023-10-14 19:40,Sara Bareilles,King of Anything,207493
2023-10-14 19:44,A Great Big World,Kaleidoscope,229320
2023-10-14 19:48,Birgir,Can You Feel It,193813
2023-10-14 19:51,Meghan Trainor,Dear Future Husband,184226
2023-10-14 19:54,Meghan Trainor,Better When I'm Dancin',176266
2023-10-14 19:54,Katy Perry,Unconditionally,2273
2023-10-14 19:58,Beyoncé,Love On Top,267413
2023-10-14 20:02,Cheat Codes,Bets On Us,3134
2023-10-14 20:02,Griff,Walk,2345
2023-10-14 20:02,P!nk,I Am Here,246066
2023-10-14 20:02,Ed Sheeran,Shivers,3928
2023-10-14 20:07,MUNA,I Know A Place,272813
2023-10-14 20:07,Samantha Harvey,Get To Know You,2693
2023-10-14 20:07,Taylor Swift,Gorgeous,5921
2023-10-14 20:07,Florence + The Machine,Dog Days Are Over,14103
2023-10-14 20:07,Florence + The Machine,Free,1671
2023-10-14 20:07,P!nk,All I Know So Far,1718
2023-10-14 20:07,Carly Rae Jepsen,Cut To The Feeling,3343
2023-10-14 20:07,Grace Potter,Something That I Want,2600
2023-10-14 20:10,Mimi Webb,House On Fire,139001
2023-10-14 20:10,Dua Lipa,IDGAF,1950
2023-10-14 20:10,Little Mix,Shout Out to My Ex,514
2023-10-14 20:13,VINCINT,Be Me - For “Queer Eye” Season 5,1555
2023-10-14 20:13,Taylor Swift,Cruel Summer,1787
2023-10-14 20:13,Little Mix,Sweet Melody,453
2023-10-14 20:13,MUNA,Silk Chiffon,206586
2023-10-14 20:17,LÉON,You And I,224063
2023-10-14 20:22,Ava Max,Sweet but Psycho,1462
2023-10-14 20:22,Feist,1234,9287
2023-10-14 20:22,Taylor Swift,The Story Of Us,265666
2023-10-14 20:22,Dua Lipa,Levitating,2600
2023-10-14 20:24,Halsey,Could Have Been Me,148732
2023-10-14 20:28,P!nk,TRUSTFALL,237200
2023-10-14 20:32,Carly Rae Jepsen,Run Away With Me,1950
2023-10-14 20:32,Florence + The Machine,Shake It Out,1495
2023-10-14 20:32,Andy Grammer,Lease On Life,2205
2023-10-14 20:32,Jonas Brothers,Rollercoaster,11099
2023-10-14 20:32,Duffy,Mercy,2043
2023-10-14 20:32,Ella Henderson,Risk It All,2043
2023-10-14 20:32,Sara Bareilles,Brave,220573
