endTime,artistName,trackName,msPlayed
2023-06-10 13:47,Emilia Jones,Both Sides Now,143220
2023-06-10 13:51,Joni Mitchell,Both Sides Now,213880
2023-06-10 13:55,Josh Groban,Both Sides Now (Duet with Sara Bareilles),242346
2023-06-10 13:56,Unknown Artist,Unknown Track,3547
2023-06-10 13:56,Dua Lipa,Break My Heart,2190
2023-06-10 13:56,Sam Smith,Diamonds,940
2023-06-10 13:56,P!nk,Raise Your Glass,3470
2023-06-10 13:56,Unknown Artist,Unknown Track,2652
2023-06-10 13:56,Sara Bareilles,"Goodbye Yellow Brick Road - Live at the Variety Playhouse, Atlanta, GA - May 2013",95483
2023-06-10 13:57,Lady Gaga,Stupid Love,1280
2023-06-10 13:57,P!nk,Runaway,10690
2023-06-10 13:57,Katy Perry,Roar,1720
2023-06-10 13:57,Little Mix,Trash,3640
2023-06-10 13:57,Taylor Swift,Anti-Hero,2230
2023-06-10 14:07,Jessie Ware,Save A Kiss,13170
2023-06-10 14:07,Little Mix,Happiness,1390
2023-06-10 14:07,P!nk,Long Way to Go,10266
2023-06-10 14:07,P!nk,Turbulence,607023
2023-06-10 14:09,Crazy Ex-Girlfriend Cast,Greg's Drinking Song (feat. Santino Fontana),126390
2023-06-10 14:09,Ashley Park,Don't Start Now,1430
2023-06-10 14:10,Stephen Schwartz,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",0
2023-06-10 14:10,Lucy,A New Life,1320
2023-06-10 14:10,Ashley Park,"Mon Soleil - from ""Emily in Paris"" Soundtrack",1640
2023-06-10 14:10,Crazy Ex-Girlfriend Cast,I Gave You a UTI (feat. Santino Fontana & Rachel Bloom),1760
2023-06-10 14:10,Stephen Schwartz,"The Wizard And I - From ""Wicked"" Original Broadway Cast Recording/2003",1770
2023-06-10 14:10,John Cardoza,That's How You Know,1350
2023-06-10 14:10,Antonio Vivaldi,Nulla in Mundo Pax Sincera - Arr. Edwards/Hirschfelder,1670
2023-06-10 14:10,Ariana DeBose,Hot Stuff,2370
2023-06-10 14:10,Frederick Loewe,Camelot: The Lusty Month of May,1710
2023-06-10 14:10,Crazy Ex-Girlfriend Cast,What'll It Be? (feat. Santino Fontana),2330
2023-06-10 14:10,Grey Henson,Meet The Plastics,400
2023-06-10 14:10,Crazy Ex-Girlfriend Cast,Research Me Obsessively (feat. Brittany Snow),1380
2023-06-10 14:10,Tituss Burgess as Sebastian,Kiss the Girl,1080
2023-06-10 14:10,Andrew Rannells,Hello!,2370
2023-06-10 14:10,Andrew Lloyd Webber,End Of Act 1: Memory,970
2023-06-10 14:10,Ramin Karimloo,Music of the Night,0
2023-06-10 14:10,Hedwig And The Angry Inch - Original Broadway Cast,Tear Me Down,800
2023-06-10 22:36,SIX,Six,4971
2023-06-10 22:40,Griff,"Head On Fire (feat. Sigrid, King Princess and MØ)",211508
2023-06-10 22:41,Ellie Goulding,Let It Die,51468
2023-06-10 22:44,Dua Lipa,Levitating,203807
2023-06-10 22:47,Ava Max,Million Dollar Baby,184294
2023-06-10 22:50,Lady Gaga,Stupid Love,193533
2023-06-10 22:53,Betty Who,Whisper,186969
2023-06-10 22:56,Little Mix,Trash,173249
2023-06-10 23:00,P!nk,Just Like a Pill,236600
2023-06-10 23:03,Katy Perry,Roar,1904
2023-06-10 23:03,Britney Spears,Break the Ice,2493
2023-06-10 23:03,Ava Max,Dancing’s Done,166906
2023-06-10 23:07,Britney Spears,Kill the Lights,239213
2023-06-10 23:10,Ava Max,Get Outta My Heart,180305
2023-06-10 23:10,Miley Cyrus,Wrecking Ball,4545
2023-06-10 23:13,P!nk,Runaway,162800
2023-06-10 23:14,Samantha Harvey,Get To Know You,1648
2023-06-10 23:14,Zara Larsson,Can't Tame Her,53272
2023-06-10 23:14,Sam Smith,I'm Not Here To Make Friends,8823
2023-06-10 23:17,FLETCHER,Suckerpunch,4514
2023-06-10 23:17,Carly Rae Jepsen,Now That I Found You,200320
2023-06-10 23:21,Jessie J,Thunder,215840
2023-06-10 23:21,Miley Cyrus,Prisoner (feat. Dua Lipa),720
2023-06-10 23:25,Little Mix,Hair (feat. Sean Paul),235127
