endTime,artistName,trackName,msPlayed
6/15/22 13:11,The Him,Always,122296
1/18/23 23:21,Stephen Schwartz,The Wizard And I - Live,163180
1/19/23 17:52,MUNA,Pink Light,340
1/19/23 17:56,MUNA,Pink Light,251146
1/19/23 18:00,Kacey Musgraves,Rainbow,214293
1/19/23 18:03,Kate Miller-Heidke,Zero Gravity,177443
1/19/23 18:06,Christy Altomare,Journey to the Past,196120
1/19/23 18:06,Taylor Swift,Stay Stay Stay (Taylor's Version),16376
1/19/23 18:10,MUNA,I Know A Place,1080
1/19/23 18:10,Bastille,Joy,820
1/19/23 18:10,Jessie Ware,Hearts - Acoustic,940
1/19/23 18:10,Jessie Ware,Hearts - Acoustic,300
1/19/23 18:10,Kelly Clarkson,Stronger (What Doesn't Kill You),1060
1/19/23 18:10,Jessie J,Thunder,1050
1/19/23 18:10,Raynes,Lemon Drop,750
1/19/23 18:10,Demi Lovato,Confident,1060
1/19/23 18:10,Ashley O,On A Roll,0
1/19/23 18:10,Maggie Rogers,Light On,2770
1/19/23 18:10,Jessie Ware,Champagne Kisses,830
1/19/23 18:10,Taylor Swift,Style,430
1/19/23 18:10,Kelly Clarkson,Never Enough,3260
1/19/23 18:10,Carly Rae Jepsen,Party For One,910
1/19/23 18:10,Betty Who,Whisper,920
1/19/23 18:10,Betty Who,Whisper,2190
1/19/23 18:10,Sam Smith,Dancing With A Stranger (with Normani),980
1/19/23 18:10,Christy Altomare,Journey to the Past,196120
1/19/23 18:10,Meghan Trainor,I'll Be Home,720
1/19/23 18:10,Taylor Swift,Look What You Made Me Do,0
1/19/23 18:10,Taylor Swift,Stay Stay Stay (Taylor's Version),2430
1/19/23 18:17,Little Mix,"Secret Love Song, Pt. II",398770
1/19/23 18:17,Caroline Polachek,So Hot You're Hurting My Feelings,1240
1/19/23 18:17,SIX,Ex-Wives,980
1/19/23 18:20,Lady Gaga,Gypsy,1530
1/19/23 18:20,Aly & AJ,Church,10
1/19/23 18:20,Ben Platt,Grow as We Go (feat. Sara Bareilles),680
1/19/23 18:20,Taylor Swift,I Forgot That You Existed,1400
1/19/23 18:20,Sara Bareilles,She Used To Be Mine,740
1/19/23 18:20,Little Mix,One I've Been Missing,2950
1/19/23 18:20,Alexis Ffrench,Dreamland,1340
1/19/23 18:20,WALK THE MOON,Shut Up and Dance,160
1/19/23 18:20,Barrett Wilbert Weed,I'd Rather Be Me,202060
1/19/23 18:20,Sheppard,Coming Home,6320
1/19/23 18:20,Hedwig And The Angry Inch - Original Broadway Cast,Wig In A Box,0
1/19/23 18:20,P!nk,Beautiful Trauma,1790
1/19/23 18:20,Taylor Swift,I Knew You Were Trouble (Taylor's Version),790
1/19/23 18:21,OneRepublic,I Lived,1840
1/19/23 18:21,Dagny,Love You Like That,1060
1/19/23 18:21,Parachute,Without You,1950
1/19/23 18:21,Carly Rae Jepsen,Cut To The Feeling,940
1/19/23 18:21,Taylor Swift,Red (Taylor's Version),1250
1/19/23 18:21,SIX,No Way,570
1/19/23 18:21,Kim Petras,Heart to Break,4120
1/19/23 18:21,Carly Rae Jepsen,Happy Not Knowing,2680
1/19/23 18:21,The Mowgli's,I Feel Good About This,1490
1/19/23 18:25,Sara Bareilles,King of Anything,234450
